               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.026406,           0.0048516,           0.0021574,             0.97077,                   1,               0.995,               0.796,            0.020865,           0.0050428,          0.00086346,             0.00673,             0.00673,             0.00673
                 111,            0.027346,           0.0053799,           0.0022881,             0.97166,                   1,               0.995,              0.8955,            0.017541,            0.005175,          0.00093647,              0.0067,              0.0067,              0.0067
                 112,            0.024978,           0.0049949,           0.0028023,                0.97,                   1,               0.995,               0.796,            0.017677,           0.0053259,           0.0011521,             0.00667,             0.00667,             0.00667
                 113,            0.027171,           0.0052255,           0.0025404,             0.97012,                   1,               0.995,               0.796,            0.021536,           0.0050869,           0.0010866,             0.00664,             0.00664,             0.00664
                 114,            0.024787,           0.0048949,            0.002825,             0.97062,                   1,               0.995,               0.796,            0.024904,           0.0047825,          0.00069843,             0.00661,             0.00661,             0.00661
                 115,            0.028187,           0.0053802,           0.0031093,             0.97184,                   1,               0.995,              0.6965,            0.018432,           0.0047291,          0.00071789,             0.00658,             0.00658,             0.00658
                 116,            0.027136,           0.0053544,           0.0027069,             0.97148,                   1,               0.995,              0.6965,            0.019948,           0.0047104,          0.00078827,             0.00655,             0.00655,             0.00655
                 117,             0.02679,           0.0053569,           0.0026339,             0.96999,                   1,               0.995,               0.796,            0.018636,           0.0047157,          0.00095844,             0.00652,             0.00652,             0.00652
                 118,            0.025954,            0.004945,           0.0020105,             0.96987,                   1,               0.995,               0.796,            0.020648,           0.0046223,          0.00095123,             0.00649,             0.00649,             0.00649
                 119,            0.027876,           0.0043276,           0.0022965,             0.97037,                   1,               0.995,               0.796,            0.017184,           0.0045849,          0.00088875,             0.00646,             0.00646,             0.00646
                 120,            0.028145,           0.0050812,           0.0023836,             0.97023,                   1,               0.995,               0.796,             0.02213,           0.0045662,          0.00087719,             0.00643,             0.00643,             0.00643
